GHCN_ID,month,day,hour,MLY-TMIN-AVGNDS-LSTH031,meas_flag_MLY-TMIN-AVGNDS-LSTH031,comp_flag_MLY-TMIN-AVGNDS-LSTH031,years_MLY-TMIN-AVGNDS-LSTH031
RQC00662801,06,99,99,     0.0, ,S,26
RQC00662801,07,99,99,     0.0, ,S,24
RQC00662801,08,99,99,     0.0, ,S,24
RQC00662801,09,99,99,     0.0, ,S,26
RQC00662801,10,99,99,     0.0, ,S,26
RQC00662801,11,99,99,     0.0, ,S,26
RQC00662801,12,99,99,     0.0, ,S,27
RQC00663409,01,99,99,     0.0, ,P,12
RQC00663409,02,99,99,     0.0, ,P,12
RQC00663409,03,99,99,     0.0, ,P,14
RQC00663409,04,99,99,     0.0, ,P,13
RQC00663409,05,99,99,     0.0, ,P,12
RQC00663409,06,99,99,     0.0, ,P,11
RQC00663409,07,99,99,     0.0, ,P,12
RQC00663409,08,99,99,     0.0, ,P,11
RQC00663409,09,99,99,     0.0, ,P,11
RQC00663409,10,99,99,     0.0, ,P,11
RQC00663409,11,99,99,     0.0, ,P,11
RQC00663409,12,99,99,     0.0, ,P,13
RQC00663431,01,99,99,     0.0, ,S,24
RQC00663431,02,99,99,     0.0, ,R,23
RQC00663431,03,99,99,     0.0, ,R,22
RQC00663431,04,99,99,     0.0, ,R,20
RQC00663431,05,99,99,     0.0, ,S,24
RQC00663431,06,99,99,     0.0, ,S,24
RQC00663431,07,99,99,     0.0, ,S,24
RQC00663431,08,99,99,     0.0, ,R,22
RQC00663431,09,99,99,     0.0, ,R,23
RQC00663431,10,99,99,     0.0, ,R,21
RQC00663431,11,99,99,     0.0, ,R,21
RQC00663431,12,99,99,     0.0, ,R,23
RQC00664193,01,99,99,     0.0, ,S,26
RQC00664193,02,99,99,     0.0, ,S,28
RQC00664193,03,99,99,     0.0, ,S,27
RQC00664193,04,99,99,     0.0, ,S,29
RQC00664193,05,99,99,     0.0, ,S,26
RQC00664193,06,99,99,     0.0, ,S,28
RQC00664193,07,99,99,     0.0, ,S,25
RQC00664193,08,99,99,     0.0, ,S,27
RQC00664193,09,99,99,     0.0, ,S,24
RQC00664193,10,99,99,     0.0, ,S,25
RQC00664193,11,99,99,     0.0, ,S,25
RQC00664193,12,99,99,     0.0, ,S,25
RQC00664276,01,99,99,     0.0, ,P,15
RQC00664276,02,99,99,     0.0, ,P,14
RQC00664276,03,99,99,     0.0, ,P,13
RQC00664276,04,99,99,     0.0, ,P,14
RQC00664276,05,99,99,     0.0, ,P,14
RQC00664276,06,99,99,     0.0, ,P,13
RQC00664276,07,99,99,     0.0, ,P,13
RQC00664276,08,99,99,     0.0, ,P,12
RQC00664276,09,99,99,     0.0, ,P,14
RQC00664276,10,99,99,     0.0, ,P,14
RQC00664276,11,99,99,     0.0, ,P,15
RQC00664276,12,99,99,     0.0, ,P,14
RQC00664702,01,99,99,     0.0, ,P,23
RQC00664702,02,99,99,     0.0, ,P,22
RQC00664702,03,99,99,     0.0, ,S,24
RQC00664702,04,99,99,     0.0, ,S,24
RQC00664702,05,99,99,     0.0, ,S,24
RQC00664702,06,99,99,     0.0, ,S,24
RQC00664702,07,99,99,     0.0, ,S,24
RQC00664702,08,99,99,     0.0, ,P,22
RQC00664702,09,99,99,     0.0, ,S,24
RQC00664702,10,99,99,     0.0, ,P,23
RQC00664702,11,99,99,     0.0, ,P,20
RQC00664702,12,99,99,     0.0, ,P,21
RQC00665064,01,99,99,     0.0, ,S,26
RQC00665064,02,99,99,     0.0, ,S,27
RQC00665064,03,99,99,     0.0, ,S,27
RQC00665064,04,99,99,     0.0, ,S,28
RQC00665064,05,99,99,     0.0, ,S,27
RQC00665064,06,99,99,     0.0, ,S,27
RQC00665064,07,99,99,     0.0, ,S,28
RQC00665064,08,99,99,     0.0, ,S,27
RQC00665064,09,99,99,     0.0, ,S,25
RQC00665064,10,99,99,     0.0, ,S,27
RQC00665064,11,99,99,     0.0, ,S,26
RQC00665064,12,99,99,     0.0, ,S,27
RQC00665097,01,99,99,     0.0, ,P,23
RQC00665097,02,99,99,     0.0, ,S,28
RQC00665097,03,99,99,     0.0, ,S,27
RQC00665097,04,99,99,     0.0, ,S,26
RQC00665097,05,99,99,     0.0, ,S,27
RQC00665097,06,99,99,     0.0, ,S,25
RQC00665097,07,99,99,     0.0, ,S,24
RQC00665097,08,99,99,     0.0, ,S,25
RQC00665097,09,99,99,     0.0, ,S,25
RQC00665097,10,99,99,     0.0, ,P,23
RQC00665097,11,99,99,     0.0, ,S,26
RQC00665097,12,99,99,     0.0, ,P,18
RQC00665693,01,99,99,     0.0, ,R,16
RQC00665693,02,99,99,     0.0, ,R,19
RQC00665693,03,99,99,     0.0, ,R,19
RQC00665693,04,99,99,     0.0, ,R,17
RQC00665693,05,99,99,     0.0, ,R,17
RQC00665693,06,99,99,     0.0, ,R,20
RQC00665693,07,99,99,     0.0, ,R,16
RQC00665693,08,99,99,     0.0, ,R,18
RQC00665693,09,99,99,     0.0, ,R,15
RQC00665693,10,99,99,     0.0, ,R,17
RQC00665693,11,99,99,     0.0, ,R,14
RQC00665693,12,99,99,     0.0, ,R,11
RQC00665807,01,99,99,     0.0, ,S,26
RQC00665807,02,99,99,     0.0, ,S,25
RQC00665807,03,99,99,     0.0, ,S,28
RQC00665807,04,99,99,     0.0, ,S,27
RQC00665807,05,99,99,     0.0, ,S,27
RQC00665807,06,99,99,     0.0, ,S,28
RQC00665807,07,99,99,     0.0, ,S,26
RQC00665807,08,99,99,     0.0, ,S,25
RQC00665807,09,99,99,     0.0, ,S,25
RQC00665807,10,99,99,     0.0, ,P,23
RQC00665807,11,99,99,     0.0, ,S,24
RQC00665807,12,99,99,     0.0, ,P,23
RQC00665908,01,99,99,     0.0, ,P,11
RQC00665908,02,99,99,     0.0, ,P,18
RQC00665908,03,99,99,     0.0, ,P,10
RQC00665908,04,99,99,     0.0, ,P,17
RQC00665908,05,99,99,     0.0, ,P,19
RQC00665908,06,99,99,     0.0, ,P,18
RQC00665908,07,99,99,     0.0, ,P,16
RQC00665908,08,99,99,     0.0, ,P,13
RQC00665908,09,99,99,     0.0, ,P,15
RQC00665908,10,99,99,     0.0, ,P,11
RQC00665908,11,99,99,     0.0, ,P,12
RQC00665908,12,99,99,     0.0, ,P,10
RQC00666073,01,99,99,     0.0, ,P,19
RQC00666073,02,99,99,     0.0, ,P,19
RQC00666073,03,99,99,     0.0, ,P,18
RQC00666073,04,99,99,     0.0, ,P,18
RQC00666073,05,99,99,     0.0, ,P,13
RQC00666073,06,99,99,     0.0, ,P,11
RQC00666073,07,99,99,     0.0, ,P,14
RQC00666073,08,99,99,     0.0, ,P,17
RQC00666073,09,99,99,     0.0, ,P,16
RQC00666073,10,99,99,     0.0, ,P,19
RQC00666073,11,99,99,     0.0, ,P,16
RQC00666073,12,99,99,     0.0, ,P,19
RQC00666258,01,99,99,     0.0, ,P,15
RQC00666258,02,99,99,     0.0, ,P,20
RQC00666258,03,99,99,     0.0, ,P,18
RQC00666258,04,99,99,     0.0, ,P,17
RQC00666258,05,99,99,     0.0, ,P,17
RQC00666258,06,99,99,     0.0, ,P,15
RQC00666258,07,99,99,     0.0, ,P,17
RQC00666258,08,99,99,     0.0, ,P,18
RQC00666258,09,99,99,     0.0, ,P,15
RQC00666258,10,99,99,     0.0, ,P,14
RQC00666258,11,99,99,     0.0, ,P,14
RQC00666258,12,99,99,     0.0, ,P,11
RQC00666730,01,99,99,     0.0, ,P,11
RQC00666730,02,99,99,     0.0, ,P,11
RQC00666730,03,99,99,     0.0, ,P,11
RQC00666730,04,99,99,     0.0, ,P,11
RQC00666730,05,99,99,     0.0, ,P,11
RQC00666730,06,99,99,     0.0, ,P,12
RQC00666730,07,99,99,     0.0, ,P,12
RQC00666730,08,99,99,     0.0, ,P,12
RQC00666730,09,99,99,     0.0, ,P,10
RQC00666730,10,99,99,     0.0, ,P,12
RQC00666730,11,99,99,     0.0, ,P,12
RQC00666730,12,99,99,     0.0, ,P,11
RQC00666992,01,99,99,     0.0, ,P,12
RQC00666992,02,99,99,     0.0, ,P,13
RQC00666992,03,99,99,     0.0, ,P,12
RQC00666992,04,99,99,     0.0, ,P,13
RQC00666992,05,99,99,     0.0, ,P,13
RQC00666992,06,99,99,     0.0, ,P,14
RQC00666992,07,99,99,     0.0, ,P,13
RQC00666992,08,99,99,     0.0, ,P,12
RQC00666992,09,99,99,     0.0, ,P,13
RQC00666992,10,99,99,     0.0, ,P,11
RQC00666992,11,99,99,     0.0, ,P,14
RQC00666992,12,99,99,     0.0, ,P,12
RQC00667292,01,99,99,     0.0, ,P,15
RQC00667292,02,99,99,     0.0, ,P,18
RQC00667292,03,99,99,     0.0, ,P,18
RQC00667292,04,99,99,     0.0, ,P,19
RQC00667292,05,99,99,     0.0, ,P,18
RQC00667292,06,99,99,     0.0, ,P,19
RQC00667292,07,99,99,     0.0, ,P,15
RQC00667292,08,99,99,     0.0, ,P,15
RQC00667292,09,99,99,     0.0, ,P,14
RQC00667292,10,99,99,     0.0, ,P,16
RQC00667292,11,99,99,     0.0, ,P,16
RQC00667292,12,99,99,     0.0, ,P,16
RQC00668306,01,99,99,     0.0, ,P,12
RQC00668306,02,99,99,     0.0, ,P,15
RQC00668306,03,99,99,     0.0, ,P,12
RQC00668306,04,99,99,     0.0, ,P,12
RQC00668306,05,99,99,     0.0, ,P,13
RQC00668306,06,99,99,     0.0, ,P,15
RQC00668306,07,99,99,     0.0, ,P,13
RQC00668306,08,99,99,     0.0, ,P,11
RQC00668306,09,99,99,     0.0, ,P,13
RQC00668306,10,99,99,     0.0, ,P,13
RQC00668306,11,99,99,     0.0, ,P,10
RQC00668306,12,99,99,     0.0, ,P,10
RQC00668814,01,99,99,     0.0, ,R,14
RQC00668814,02,99,99,     0.0, ,R,14
RQC00668814,03,99,99,     0.0, ,R,14
RQC00668814,04,99,99,     0.0, ,R,14
RQC00668814,05,99,99,     0.0, ,R,14
RQC00668814,06,99,99,     0.0, ,R,14
RQC00668814,07,99,99,     0.0, ,R,14
RQC00668814,08,99,99,     0.0, ,R,13
RQC00668814,09,99,99,     0.0, ,R,13
RQC00668814,10,99,99,     0.0, ,R,12
RQC00668814,11,99,99,     0.0, ,R,14
RQC00668814,12,99,99,     0.0, ,R,15
RQC00669415,01,99,99,     0.0, ,R,13
RQC00669415,02,99,99,     0.0, ,R,16
RQC00669415,03,99,99,     0.0, ,R,16
RQC00669415,04,99,99,     0.0, ,R,14
RQC00669415,05,99,99,     0.0, ,R,15
RQC00669415,06,99,99,     0.0, ,R,15
RQC00669415,07,99,99,     0.0, ,R,14
RQC00669415,08,99,99,     0.0, ,R,11
RQC00669415,09,99,99,     0.0, ,R,13
RQC00669415,10,99,99,     0.0, ,R,12
RQC00669415,11,99,99,     0.0, ,R,14
RQC00669415,12,99,99,     0.0, ,R,13
RQC00669521,01,99,99,     0.0, ,S,25
RQC00669521,02,99,99,     0.0, ,S,27
RQC00669521,03,99,99,     0.0, ,S,24
RQC00669521,04,99,99,     0.0, ,R,22
RQC00669521,05,99,99,     0.0, ,S,25
RQC00669521,06,99,99,     0.0, ,S,24
RQC00669521,07,99,99,     0.0, ,R,23
RQC00669521,08,99,99,     0.0, ,S,25
RQC00669521,09,99,99,     0.0, ,R,21
RQC00669521,10,99,99,     0.0, ,R,23
RQC00669521,11,99,99,     0.0, ,R,23
RQC00669521,12,99,99,     0.0, ,S,24
RQW00011603,01,99,99,     0.0, ,P,17
RQW00011603,02,99,99,     0.0, ,P,16
RQW00011603,03,99,99,     0.0, ,P,16
RQW00011603,04,99,99,     0.0, ,P,15
RQW00011603,05,99,99,     0.0, ,P,15
RQW00011603,06,99,99,     0.0, ,P,14
