GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
USC00268761,99,99,99,    46.7, ,S,27,    37.5, ,S,27,    55.8, ,S,27,    18.3, ,S,27
USC00268822,99,99,99,    49.7, ,R,24,    31.4, ,S,24,    68.0, ,S,26,    36.7, ,R,24
USC00268838,99,99,99,    51.1, ,R,13,    35.0, ,R,13,    67.2, ,R,15,    32.2, ,R,13
USC00268988,99,99,99,    43.4, ,R,12,    29.0, ,R,12,    57.8, ,R,14,    28.8, ,R,12
USC00269005,99,99,99,    46.6, ,E, 3,    32.5, ,E, 3,    60.7, ,E, 3,    28.2, ,E, 3
USC00269072,99,99,99,    38.4, ,R,23,    24.0, ,R,23,    52.9, ,S,24,    28.8, ,R,23
USC00269168,99,99,99,    47.7, ,R,19,    32.8, ,R,19,    62.6, ,R,20,    29.8, ,R,19
USC00269229,99,99,99,    52.1, ,R,23,    37.7, ,R,23,    66.4, ,S,24,    28.7, ,R,23
USC00270681,99,99,99,    40.5, ,R,22,    29.9, ,R,22,    51.2, ,R,22,    21.3, ,R,22
USC00270690,99,99,99,    40.3, ,S,28,    28.7, ,S,28,    51.9, ,S,28,    23.2, ,S,28
USC00270706,99,99,99,    40.2, ,R,17,    26.9, ,R,17,    53.5, ,R,19,    26.6, ,R,17
USC00270913,99,99,99,    43.0, ,E,10,    31.9, ,E,10,    54.0, ,E,10,    22.1, ,E,10
USC00271647,99,99,99,    37.4, ,S,29,    24.8, ,S,29,    50.1, ,S,29,    25.3, ,S,29
USC00272174,99,99,99,    45.4, ,S,26,    33.9, ,S,26,    56.9, ,S,28,    23.0, ,S,26
USC00272302,99,99,99,    45.7, ,R,12,    34.7, ,R,12,    56.7, ,R,12,    22.0, ,R,12
USC00272303,99,99,99,    42.8, ,E, 4,    30.5, ,E, 4,    55.1, ,E, 4,    24.6, ,E, 4
USC00272800,99,99,99,    45.1, ,S,30,    34.1, ,S,30,    56.1, ,S,30,    22.0, ,S,30
USC00272846,99,99,99,    37.1, ,E, 3,    25.2, ,E, 3,    49.0, ,E, 3,    23.8, ,E, 3
USC00272999,99,99,99,    36.0, ,S,30,    24.5, ,S,30,    47.6, ,S,30,    23.2, ,S,30
USC00273182,99,99,99,    43.1, ,E, 9,    31.1, ,E, 9,    55.1, ,E, 9,    24.0, ,E, 9
USC00273488,99,99,99,    40.8, ,E, 2,    28.9, ,E, 2,    52.6, ,E, 2,    23.6, ,E, 2
USC00273530,99,99,99,    40.9, ,R,12,    28.4, ,R,12,    53.4, ,R,13,    25.0, ,R,12
USC00273626,99,99,99,    45.0, ,S,26,    35.0, ,S,26,    55.0, ,S,28,    20.1, ,S,26
USC00273658,99,99,99,    43.3, ,R,10,    32.5, ,R,10,    54.2, ,R,11,    21.7, ,R,10
USC00273850,99,99,99,    46.2, ,S,30,    34.9, ,S,30,    57.6, ,S,30,    22.7, ,S,30
USC00274218,99,99,99,    43.9, ,E, 6,    31.5, ,E, 6,    56.3, ,E, 6,    24.8, ,E, 6
USC00274234,99,99,99,    45.7, ,S,28,    34.2, ,S,28,    57.2, ,S,30,    22.9, ,S,28
USC00274304,99,99,99,    44.6, ,E, 8,    33.5, ,E, 8,    55.6, ,E, 9,    22.1, ,E, 8
USC00274329,99,99,99,    40.4, ,R,10,    29.9, ,R,10,    50.9, ,R,10,    21.0, ,R,10
USC00274399,99,99,99,    43.2, ,S,25,    30.3, ,S,25,    56.1, ,S,28,    25.8, ,S,25
USC00274480,99,99,99,    44.1, ,S,27,    32.8, ,S,29,    55.4, ,S,27,    22.6, ,S,27
USC00274556,99,99,99,    39.7, ,S,28,    27.2, ,S,28,    52.2, ,S,28,    25.0, ,S,28
USC00274734,99,99,99,    41.7, ,E, 4,    30.2, ,E, 4,    53.1, ,E, 4,    22.9, ,E, 4
USC00275211,99,99,99,    45.1, ,S,26,    34.8, ,S,26,    55.3, ,S,27,    20.5, ,S,26
USC00275350,99,99,99,    44.2, ,E, 9,    34.2, ,E, 9,    54.2, ,E, 9,    20.0, ,E, 9
USC00275412,99,99,99,    45.8, ,R,15,    34.2, ,R,15,    57.3, ,R,16,    23.1, ,R,15
USC00275629,99,99,99,    43.1, ,R,23,    33.0, ,S,24,    53.2, ,R,23,    20.2, ,R,23
USC00275703,99,99,99,    46.3, ,E, 6,    35.0, ,E, 6,    57.7, ,E, 6,    22.7, ,E, 6
USC00275712,99,99,99,    46.2, ,S,26,    34.6, ,S,26,    57.9, ,S,26,    23.2, ,S,26
USC00275868,99,99,99,    42.0, ,S,27,    30.4, ,S,28,    53.5, ,S,27,    23.1, ,S,27
USC00275995,99,99,99,    43.2, ,S,30,    31.6, ,S,30,    54.8, ,S,30,    23.2, ,S,30
USC00276234,99,99,99,    39.6, ,R,20,    27.7, ,R,20,    51.4, ,R,21,    23.7, ,R,20
USC00276818,99,99,99,    37.9, ,S,29,    26.9, ,S,29,    48.9, ,S,29,    22.0, ,S,29
USC00276945,99,99,99,    41.5, ,R,17,    28.6, ,R,17,    54.3, ,R,17,    25.6, ,R,17
USC00277833,99,99,99,    43.0, ,R,12,    31.4, ,R,14,    54.7, ,R,12,    23.3, ,R,12
USC00278614,99,99,99,    40.9, ,R,20,    28.7, ,R,20,    53.1, ,R,20,    24.4, ,R,20
USC00278856,99,99,99,    43.9, ,E, 3,    32.8, ,E, 3,    54.9, ,E, 3,    22.1, ,E, 3
USC00278961,99,99,99,    39.1, ,E, 4,    27.8, ,E, 4,    50.4, ,E, 4,    22.5, ,E, 4
USC00278972,99,99,99,    44.0, ,R,14,    33.7, ,R,14,    54.4, ,R,14,    20.7, ,R,14
USC00278973,99,99,99,    44.3, ,E, 6,    33.4, ,E, 8,    55.2, ,E, 6,    21.7, ,E, 6
USC00279091,99,99,99,    42.1, ,E, 7,    28.8, ,E, 9,    55.4, ,E, 7,    26.5, ,E, 7
USC00279278,99,99,99,    45.4, ,R,12,    34.1, ,R,12,    56.6, ,R,14,    22.6, ,R,12
USC00279966,99,99,99,    38.2, ,S,27,    26.9, ,S,27,    49.5, ,S,27,    22.6, ,S,27
USC00280690,99,99,99,    53.1, ,R,12,    39.9, ,R,12,    66.4, ,R,12,    26.5, ,R,12
USC00280734,99,99,99,    47.9, ,S,25,    36.0, ,S,25,    59.9, ,S,26,    23.9, ,S,25
USC00280907,99,99,99,    49.6, ,R,14,    39.0, ,R,14,    60.2, ,R,14,    21.1, ,R,14
USC00280990,99,99,99,    50.6, ,R,15,    43.9, ,R,15,    57.4, ,R,18,    13.6, ,R,15
USC00281335,99,99,99,    51.0, ,R,21,    40.5, ,R,21,    61.5, ,S,27,    21.0, ,R,21
USC00281351,99,99,99,    52.9, ,S,29,    44.3, ,S,29,    61.6, ,S,29,    17.2, ,S,29
USC00281582,99,99,99,    47.9, ,R,20,    37.4, ,R,20,    58.5, ,S,26,    21.0, ,R,20
